h,b,MEU
"[0, 0, 0]",0,"[([[(0, 2), (0, 2), (0, 2), (0, 3)], [(0, 1), (0, 1), (0, 1)], [(0, 0)]], [1, 2, 5])]"
"[0, 0, 0]",1,"[([[(0, 2), (0, 2), (0, 2), (0, 3), (0, 1), (0, 1), (0, 1)], [(0, 0)]], [2, 5])]"
"[0, 0, 0]",3,"[([[(0, 2), (0, 2), (0, 2), (0, 3), (0, 1), (0, 1), (0, 1), (0, 0)]], [4])]"
"[1, 0, 0]",0,"[([[(0, 2)], [(0, 1), (0, 1)], [(1, 2)], [(0, 0), (1, 1), (1, 1)], [(1, 0)]], [1, 2, 4, 5, 8])]"
"[1, 0, 0]",1,"[([[(0, 2), (0, 1), (0, 1)], [(1, 2), (0, 0), (1, 1), (1, 1)], [(1, 0)]], [2, 5, 8])]"
"[1, 0, 0]",3,"[([[(0, 2), (0, 1), (0, 1), (1, 2), (0, 0), (1, 1), (1, 1), (1, 0)]], [5])]"
"[1, 1, 0]",0,"[([[(0, 1)], [(0, 0), (1, 1), (1, 1)], [(2, 1)], [(1, 0), (1, 0)], [(2, 0)]], [2, 5, 6, 8, 9])]"
"[1, 1, 0]",1,"[([[(0, 1)], [(0, 0), (1, 1), (1, 1)], [(2, 1), (1, 0), (1, 0), (2, 0)]], [2, 5, 7]), ([[(0, 1)], [(0, 0)], [(1, 1), (1, 1), (2, 1), (1, 0), (1, 0), (2, 0)]], [2, 5, 7]), ([[(0, 1)], [(0, 0), (1, 1)], [(1, 1), (2, 1), (1, 0), (1, 0), (2, 0)]], [2, 5, 7])]"
"[1, 1, 0]",3,"[([[(0, 1), (0, 0), (1, 1), (1, 1), (2, 1), (1, 0), (1, 0), (2, 0)]], [5])]"
"[1, 1, 1]",0,"[([[(0, 0)], [(1, 0), (1, 0), (1, 0)], [(2, 0), (2, 0), (2, 0), (3, 0)]], [5, 8, 9])]"
"[1, 1, 1]",1,"[([[(0, 0)], [(1, 0), (1, 0), (1, 0), (2, 0), (2, 0), (2, 0), (3, 0)]], [5, 8])]"
"[1, 1, 1]",3,"[([[(0, 0), (1, 0), (1, 0), (1, 0), (2, 0), (2, 0), (2, 0), (3, 0)]], [6])]"
